policy_id,client_id,policy_name,policy_type,benefit_type,sum_assured,premium_amount,payment_frequency,payment_term,life_assured,start_date,expiry_date,status
ea56a1f2-9555-485d-a01c-4735611d8b9c,7b66ef0f-e383-4013-9b6a-16f550822316,Hall-Smith Legacy Plan,General Insurance,Death,695080.26,180.62,Semi-Annual,8,Child,2018-04-05,2025-04-22,Matured
c4a3374b-ac2f-4e72-801e-aaea80c43203,7b66ef0f-e383-4013-9b6a-16f550822316,Marshall-Williams Term Plan,General Insurance,Death,742477.87,220.21,Annual,26,Self,2017-01-30,2024-01-14,Matured
d2eff9cc-324f-4038-b632-6a6798ecb757,f625fcbd-b88d-4d73-a3fe-c3821c457e42,Chase Group Term Plan,Life Insurance,Total Permanent Disability,100000.0,100.0,Annual,5,Child,2024-12-22,2032-01-15,Active
0859ce97-1b67-4065-843b-be4410dde70f,f625fcbd-b88d-4d73-a3fe-c3821c457e42,"Davis, Cooper and Cherry Legacy Plan",Life Insurance,Total Permanent Disability,100000.0,100.0,Quarterly,14,Parent,2021-09-13,2028-06-07,Settled
0abc6bf5-1e13-4893-baed-1bd570396262,88649e93-b090-45c8-8f37-05f78afff5bd,Ray LLC Legacy Plan,Life Insurance,Critical Illness,25647.39,5.33,Quarterly,23,Self,2024-09-02,2033-11-22,Active
6ec03507-320f-486e-a440-f73e86a57d6d,88649e93-b090-45c8-8f37-05f78afff5bd,Watkins Group Shield Plan,Life Insurance,Accidental,21425.19,9.36,Quarterly,6,Spouse,2018-10-21,2020-03-05,Void
ba3495cc-d16f-41be-ae68-256397c0b525,88649e93-b090-45c8-8f37-05f78afff5bd,"Graham, Wong and King Life Plan",General Insurance,Critical Illness,18601.16,4.11,Annual,6,Self,2018-12-12,2025-09-15,Matured
29346202-5cb4-4775-b986-a45be6e8fec8,b8c05a1b-bb2d-4e0e-8e0e-74c7250c50e9,Smith PLC Essential Plan,Life Insurance,Accidental,1096298.68,385.64,Annual,28,Self,2020-01-20,2026-07-17,Active
29a93b22-c357-4c2a-b095-20b3ed741618,b8c05a1b-bb2d-4e0e-8e0e-74c7250c50e9,Wu-Shea Secure Plan,Life Insurance,Accidental,1083809.96,345.98,Monthly,5,Self,2016-08-08,2026-07-07,Active
bccfc674-4e5c-4cd3-8aac-c87679ede29f,b97695e4-1256-445c-978b-ade055511a09,"Pitts, Fisher and Edwards Supreme Plan",General Insurance,Death,948444.99,523.97,Annual,9,Parent,2025-03-26,2031-07-22,Active
e321efcf-a0b5-4931-a22e-0f14c3c22542,b97695e4-1256-445c-978b-ade055511a09,Medina-Wong Supreme Plan,General Insurance,Accidental,1059924.75,355.41,Monthly,17,Self,2025-12-28,2033-05-05,Active
16cb0ff8-bf51-48b8-98fe-5159bee5f5bb,e3456dc3-25a1-4ca7-b13d-4aee088c11a0,Serrano-Lambert Essential Plan,General Insurance,Death,1696004.67,472.6,Monthly,9,Self,2019-04-04,2022-05-30,Matured
4fbb51bb-73b2-4cb8-a4e6-d99bf1e5abd2,e3456dc3-25a1-4ca7-b13d-4aee088c11a0,Aguirre Ltd Supreme Plan,Health Insurance,Death,1300509.94,287.27,Semi-Annual,19,Parent,2025-09-23,2035-05-04,Active
5358b076-5760-44c6-841e-1626533eb872,e3456dc3-25a1-4ca7-b13d-4aee088c11a0,"Pena, Williams and Alexander Health Plan",Life Insurance,Death,1063480.8,174.17,Monthly,24,Child,2019-01-29,2021-07-03,Matured
926b8f53-7d13-4b83-9936-9cc388d2bd85,e3456dc3-25a1-4ca7-b13d-4aee088c11a0,Baldwin-Glass Legacy Plan,Life Insurance,Critical Illness,956428.98,225.73,Monthly,11,Parent,2020-10-01,2028-06-17,Settled
8754e0f2-6414-4f21-bbb6-add76bfed09b,e3456dc3-25a1-4ca7-b13d-4aee088c11a0,King-Bell Essential Plan,Health Insurance,Total Permanent Disability,1626605.49,363.15,Monthly,26,Child,2020-07-08,2025-09-14,Matured
a57dfe01-457d-4c77-8efb-0733d83ca6a0,6207643a-4c29-449d-8cfe-31d90db759b3,Foley-Dunlap Essential Plan,Life Insurance,Accidental,477331.22,163.77,Quarterly,20,Parent,2020-10-18,2027-10-12,Active
b04ee5da-f559-45d5-b9e0-d3ab1ac8ba65,006d1014-0d33-470d-b3a7-23c5c42a9064,Jackson Group Total Care Plan,General Insurance,Accidental,1498255.17,205.97,Semi-Annual,8,Spouse,2018-08-28,2021-09-09,Matured
0867c193-39a5-45a5-9def-7a19189be569,006d1014-0d33-470d-b3a7-23c5c42a9064,George-Ortega Wellness Plan,Health Insurance,Hospitalization,1009831.17,506.4,Quarterly,8,Spouse,2022-07-26,2029-08-25,Active
20b8c026-605f-4a19-bad6-b4d69f2ebf5a,792c2888-6857-4e7e-8a67-9585086dece7,Bowman Group Shield Plan,General Insurance,Hospitalization,108538.65,30.59,Quarterly,8,Spouse,2025-10-17,2026-02-28,Void
7e2f351d-1f5b-4e17-9411-538f72d2a76a,792c2888-6857-4e7e-8a67-9585086dece7,Martin-Vasquez Shield Plan,Health Insurance,Critical Illness,111550.88,16.83,Monthly,25,Self,2025-09-05,2027-11-18,Active
87b53951-3de5-4000-bfde-044ab258b558,792c2888-6857-4e7e-8a67-9585086dece7,Ramirez-Wells Shield Plan,General Insurance,Hospitalization,111436.04,22.44,Semi-Annual,13,Self,2025-11-02,2033-10-07,Active
1a73332d-926c-49ad-99c0-a77ced60a437,a2c2899d-2f10-4056-8e97-95c4de82f3b3,Williams-Pineda Supreme Plan,Life Insurance,Critical Illness,143672.67,45.62,Semi-Annual,27,Child,2025-02-01,2031-01-29,Active
920292f2-a3cc-4b18-9989-8bc82155d176,a2c2899d-2f10-4056-8e97-95c4de82f3b3,Hughes PLC Legacy Plan,Life Insurance,Death,112390.47,26.27,Annual,29,Self,2016-10-21,2022-09-02,Settled
37bae297-0c7c-485f-9a8c-ad735cfe8753,a2c2899d-2f10-4056-8e97-95c4de82f3b3,"Cook, Anderson and Smith Wellness Plan",Life Insurance,Death,106395.83,43.89,Semi-Annual,14,Self,2022-05-22,2024-06-12,Matured
d06d547f-3015-4d7a-988b-8a62281bfbfb,dc5ebde1-b17a-4e2f-8e33-239c80e92e4b,"Hernandez, Mills and Morris Total Care Plan",General Insurance,Critical Illness,93329.05,32.38,Annual,8,Parent,2021-07-22,2025-09-17,Matured
3a24df53-d8fc-4bdd-a27c-b6696479d924,dc5ebde1-b17a-4e2f-8e33-239c80e92e4b,Bailey-Jones Supreme Plan,General Insurance,Accidental,117964.68,35.37,Quarterly,25,Parent,2017-01-20,2018-02-08,Matured
4386b317-e5d5-47f7-91c1-d65a1184aecf,dc5ebde1-b17a-4e2f-8e33-239c80e92e4b,"Paul, Stephenson and James Supreme Plan",General Insurance,Hospitalization,88214.85,27.27,Monthly,13,Spouse,2022-03-23,2025-01-04,Matured
a26327ac-c195-474c-bbe1-1f15754ff89e,a8c59e97-3ab9-44ce-8c2f-86738506d521,"Larson, Odom and Garcia Supreme Plan",Life Insurance,Death,594493.03,250.44,Annual,17,Child,2023-04-29,2032-01-13,Active
ca9097b9-694f-4e79-a57e-7da9c4929e33,a8c59e97-3ab9-44ce-8c2f-86738506d521,Watkins-Grant Legacy Plan,Life Insurance,Total Permanent Disability,929020.95,255.43,Semi-Annual,17,Spouse,2020-12-08,2029-03-17,Active
3ba23b8a-2a19-40ca-940a-853813f7c645,6a5f3c1d-b6ec-49da-a75d-eb66a61f44bf,Terry-Barnett Legacy Plan,Life Insurance,Accidental,1186150.84,346.46,Semi-Annual,23,Spouse,2019-06-29,2026-11-29,Active
66288e06-24bc-4bc3-8f88-bcc4c89a28a7,6a5f3c1d-b6ec-49da-a75d-eb66a61f44bf,"James, Edwards and Lee Total Care Plan",Health Insurance,Hospitalization,794278.7,471.26,Annual,16,Self,2025-04-05,2026-05-18,Active
ab4f0032-03ad-42b2-b930-51f63cbd207b,28742933-24d3-4c47-a671-77b06afa3b3e,Mitchell-Gross Health Plan,Life Insurance,Critical Illness,1455511.93,418.01,Semi-Annual,19,Child,2024-10-08,2029-10-24,Active
60c2c1d5-a17c-46fa-9bf4-fd6caf608137,453a5bad-3985-472a-aae9-626cb617d93c,Hensley-Burgess Life Plan,Health Insurance,Death,78525.72,17.67,Semi-Annual,14,Self,2026-02-26,2035-02-10,Active
79786f44-73ae-452a-bc73-3dd31cee76c9,453a5bad-3985-472a-aae9-626cb617d93c,Fuentes-Baker Term Plan,Life Insurance,Hospitalization,73528.43,15.41,Semi-Annual,22,Spouse,2017-02-04,2026-11-14,Active
ec31dc1e-325f-4680-b334-e9bb66b7a580,a2c32083-5665-450c-8231-b7cd5953b8da,"Thomas, Gibbs and Raymond Wellness Plan",Life Insurance,Hospitalization,59512.49,12.0,Monthly,18,Spouse,2023-06-12,2028-01-23,Active
0a475441-9a21-4a36-a65e-c5b81cf1f502,a2c32083-5665-450c-8231-b7cd5953b8da,Huerta LLC Shield Plan,General Insurance,Hospitalization,55369.17,15.57,Quarterly,24,Self,2019-08-17,2021-01-03,Matured
2ebbcc72-42e9-4261-97e0-1319451be056,a2c32083-5665-450c-8231-b7cd5953b8da,Lee Inc Secure Plan,Life Insurance,Total Permanent Disability,65152.19,14.6,Semi-Annual,10,Parent,2021-01-31,2026-12-24,Active
dd3598c0-dd91-41b0-a5fd-757fb9c0bbeb,8a0e07ce-2308-4dec-9b65-fa4aafcd5283,Wade and Sons Shield Plan,General Insurance,Accidental,380814.38,129.85,Semi-Annual,27,Child,2026-02-22,2030-10-23,Active
a79d4550-beac-45f4-b736-a07ad8fc4b68,697b64ae-a1fa-430f-b08f-4e2f97dc85ab,Stewart-Pugh Essential Plan,Health Insurance,Hospitalization,1024793.78,483.01,Monthly,13,Self,2021-02-11,2030-10-31,Active
deb1ceb9-108e-4d41-896c-5b284843f777,697b64ae-a1fa-430f-b08f-4e2f97dc85ab,Conway Inc Essential Plan,Life Insurance,Accidental,1528334.29,160.96,Semi-Annual,19,Child,2025-09-20,2028-12-05,Active
a8d091a5-990b-44e2-8351-df0d8e065925,697b64ae-a1fa-430f-b08f-4e2f97dc85ab,Johnson-Bryant Shield Plan,General Insurance,Hospitalization,1461765.68,194.72,Quarterly,14,Parent,2020-04-24,2027-09-21,Active
cc76efc1-8878-4da3-9f17-229f75a4f65e,f74c7947-8327-4011-9a8f-d98989e053e9,Padilla-Morton Life Plan,Health Insurance,Critical Illness,86885.63,27.74,Semi-Annual,16,Spouse,2017-06-03,2023-10-12,Matured
6884114b-b4fc-4b5f-a3f8-fd719e365c5d,f74c7947-8327-4011-9a8f-d98989e053e9,Warner-Bell Shield Plan,Life Insurance,Critical Illness,109908.36,21.83,Quarterly,10,Child,2016-12-08,2024-01-07,Matured
8f1cdbe5-15a1-44cc-8063-d437c2236556,098d753d-06db-43ad-b6a3-cd4ef5496d60,Munoz-Powell Supreme Plan,Life Insurance,Total Permanent Disability,64503.03,19.97,Quarterly,16,Self,2024-11-06,2026-11-17,Active
d66fd24d-08c3-44a3-8cd1-665299fbd9ba,6a79b5ac-fe88-4792-8cf4-16a9726138b4,Thomas Inc Shield Plan,Life Insurance,Hospitalization,1051122.97,506.28,Semi-Annual,29,Self,2020-08-25,2025-12-09,Settled
65b4301b-f713-4392-acd2-7923115b37b2,eb9caacd-809f-4540-88f2-aa47c56ffb2b,Park and Sons Total Care Plan,Life Insurance,Total Permanent Disability,960519.12,397.42,Semi-Annual,29,Self,2023-03-21,2028-07-28,Active
f98ab390-9e91-4eb9-8953-f4f1e51e0361,eb9caacd-809f-4540-88f2-aa47c56ffb2b,Williams Inc Health Plan,Life Insurance,Accidental,867001.7,480.7,Monthly,13,Spouse,2019-08-15,2021-09-22,Matured
baf7f091-91e2-4313-809e-898ce47d3d19,eb9caacd-809f-4540-88f2-aa47c56ffb2b,Cooper-Roberts Supreme Plan,Life Insurance,Accidental,1224436.58,323.32,Monthly,26,Self,2020-01-04,2029-04-15,Active
3dae0150-b914-4ece-983e-9c426a448d51,58f17fe6-e038-4b6b-85b7-f6c025051708,"Smith, Myers and Tyler Total Care Plan",Health Insurance,Critical Illness,66430.67,16.85,Quarterly,26,Child,2016-06-26,2025-12-02,Matured
8083cccf-0ce9-412f-8470-11614a74abd7,58f17fe6-e038-4b6b-85b7-f6c025051708,Carson Group Health Plan,Health Insurance,Critical Illness,79217.87,29.19,Semi-Annual,19,Parent,2023-11-16,2032-07-09,Active
9d013004-e622-4a56-8f44-09b5c4bb519a,bbb0dfa0-0633-487c-adee-3b5963a22ab2,Nicholson LLC Health Plan,Life Insurance,Death,802351.61,268.99,Monthly,8,Spouse,2017-08-14,2025-08-07,Matured
28c9f6a9-8d8f-4198-a2d4-19e4f652a7b3,bbb0dfa0-0633-487c-adee-3b5963a22ab2,Matthews-Carr Secure Plan,General Insurance,Accidental,664606.05,322.99,Monthly,28,Spouse,2020-07-02,2026-09-23,Active
16ee3e8d-84a7-4736-ba1e-9785eae83735,bbb0dfa0-0633-487c-adee-3b5963a22ab2,Wolfe Inc Health Plan,General Insurance,Death,531760.77,102.91,Semi-Annual,27,Spouse,2018-05-24,2018-12-01,Void
