plan_id,client_id,plan_name,asset_class,start_date,end_date,status
1abb484f-cd19-4ac9-a789-93c1d9568783,1a4d66e3-9e49-4990-912f-ff04b23a1c3e,James-Hensley Plus Plan,General Insurance,2025-11-05,,Active
43cb1043-5efd-4f5f-b921-4b2415567006,1a4d66e3-9e49-4990-912f-ff04b23a1c3e,Edwards-Wilson Protector Plan,General Insurance,2020-04-10,,Active
c00c7b27-edab-48c0-8332-e745ec5dd30d,1a4d66e3-9e49-4990-912f-ff04b23a1c3e,"Williams, Mckenzie and Graves Diversified Fund",Cash,2025-11-21,,Active
b04f890a-966b-4a52-9375-ea579d5c6d72,1a4d66e3-9e49-4990-912f-ff04b23a1c3e,Mason and Sons Diversified Fund,Cash,2020-06-29,2021-11-19,Matured
c7be8388-39a1-4f9c-ba62-ace7b4d8f656,1a4d66e3-9e49-4990-912f-ff04b23a1c3e,Martinez PLC Secure Plan,Health Insurance,2022-02-07,,Active
478aa99f-ea84-471d-a417-8c5ec481ad33,63907370-1f06-4dc5-ad34-e55e8d218f18,Arnold-Cohen Global Fund,Cash,2023-08-19,,Active
cf48af73-bf03-43e6-bdb5-16d5e661e38a,63907370-1f06-4dc5-ad34-e55e8d218f18,"Carlson, Preston and Lucero Classic Plan",General Insurance,2024-01-13,,Active
edfe00a6-753d-4c74-87b4-727f7128cf2a,63907370-1f06-4dc5-ad34-e55e8d218f18,"Frank, Munoz and Matthews Secure Plan",Life Insurance,2022-07-14,,Active
82f8b3c6-dcee-4445-a93a-3bc1248e9648,63907370-1f06-4dc5-ad34-e55e8d218f18,"Villa, Cobb and Michael Classic Plan",General Insurance,2024-03-12,,Active
2c12950e-3568-42a7-9fc5-2b4c9cbbb087,63907370-1f06-4dc5-ad34-e55e8d218f18,Hawkins LLC Protector Plan,Life Insurance,2022-12-14,2024-05-26,Settled
b0491d74-a753-49e9-b303-fbee8befca43,63907370-1f06-4dc5-ad34-e55e8d218f18,"Evans, Horne and Allen Core Fund",Fixed Income,2020-03-15,2022-09-24,Lapsed
3e6ccc01-6b4b-49ca-8f64-868520d26429,63907370-1f06-4dc5-ad34-e55e8d218f18,Cruz Group Comprehensive Plan,General Insurance,2024-08-21,2024-11-24,Settled
ed476b1a-00b0-4278-a946-bb6697c87fd1,63907370-1f06-4dc5-ad34-e55e8d218f18,Allen Inc Comprehensive Plan,General Insurance,2020-08-15,,Active
eca3ed22-cc45-4cda-83ae-de3f3b0a9782,67e8d8cc-65b9-4fdc-a250-7e095fb6012e,Rodriguez-Lucas Protector Plan,Life Insurance,2020-03-19,,Active
411a8a9d-4471-4f21-a2ff-a2431f50492d,67e8d8cc-65b9-4fdc-a250-7e095fb6012e,Barnes-Vasquez Essential Plan,Health Insurance,2024-10-03,2025-03-07,Lapsed
9c0e8beb-b1a4-4aba-9664-2513d0727a62,67e8d8cc-65b9-4fdc-a250-7e095fb6012e,"Thompson, Jensen and Bailey Diversified Fund",Equity,2022-11-30,,Active
fe59410a-6963-4d17-aa13-1d3ab9654682,67e8d8cc-65b9-4fdc-a250-7e095fb6012e,"Young, Vazquez and Love Comprehensive Plan",Life Insurance,2021-06-25,,Active
cf2a583a-d49d-4b0b-b530-94265b883852,67e8d8cc-65b9-4fdc-a250-7e095fb6012e,Brown-Cummings Plus Plan,General Insurance,2024-05-04,,Active
fd192626-1343-4e59-92a8-1f90b3bb850e,67e8d8cc-65b9-4fdc-a250-7e095fb6012e,Hernandez-Solis Comprehensive Plan,Health Insurance,2020-07-26,,Active
c9787bf1-4867-4362-b0a8-113e8bf95629,33a02eda-7a66-4158-adb1-7725e5286f94,"Alvarez, Martin and Morgan Strategic Fund",Fixed Income,2023-12-10,2026-02-09,Matured
f2b612ee-bc8c-4917-aefa-c53246b382e7,33a02eda-7a66-4158-adb1-7725e5286f94,Morgan-Powell Principal Fund,Equity,2024-05-19,,Active
fc1df1ce-3265-4e81-a3cb-cc0df8d93a66,33a02eda-7a66-4158-adb1-7725e5286f94,"Stevens, Hoover and White Secure Plan",General Insurance,2022-11-24,,Active
364ad465-2bb6-482c-8729-42ba2ce82ab9,33a02eda-7a66-4158-adb1-7725e5286f94,"Williams, Johnson and Mccormick Portfolio Fund",Equity,2021-08-03,,Active
943d9a33-e407-4a90-899a-6e16ad8d5112,33a02eda-7a66-4158-adb1-7725e5286f94,"Hunt, Schmidt and Ross Core Fund",Fixed Income,2021-08-09,,Active
262b1628-a5cb-4761-b637-858716965452,33a02eda-7a66-4158-adb1-7725e5286f94,Smith-Thomas Secure Plan,Life Insurance,2021-04-18,,Active
2c47a75c-b1db-4781-b456-a9c4fe88057f,33a02eda-7a66-4158-adb1-7725e5286f94,Morris-Salas Portfolio Fund,Equity,2024-05-10,2026-02-25,Lapsed
139fb6b9-ed75-4024-83d4-a9e1cbf240bf,ffa4cc29-7632-4f53-a7d2-19a8bed6f027,Rose-Smith Secure Plan,General Insurance,2023-06-11,,Active
9295bf27-1f6a-4272-a30e-b3bc6b2c6f69,ffa4cc29-7632-4f53-a7d2-19a8bed6f027,Leblanc LLC Protector Plan,Life Insurance,2021-07-03,,Active
7ba903cd-1394-4934-8fda-03d3072b0949,ffa4cc29-7632-4f53-a7d2-19a8bed6f027,Curtis Group Secure Plan,General Insurance,2024-07-27,,Active
9c5cfe1c-11d5-48ec-9585-535ed325c337,ffa4cc29-7632-4f53-a7d2-19a8bed6f027,Alvarez-Schmidt Core Fund,Equity,2023-09-29,,Active
b42356b9-e55f-4768-9f2a-b0d7c4874794,3523183b-0198-4cca-a852-52a8512718b3,Torres Inc Essential Plan,Health Insurance,2023-06-28,,Active
67061b1b-eb29-4310-a9fe-ee5b9f97b1c7,3523183b-0198-4cca-a852-52a8512718b3,Jackson-Willis Core Fund,Fixed Income,2024-04-19,,Pending
603b6c8b-24c6-405c-a338-dd9ab503484f,3523183b-0198-4cca-a852-52a8512718b3,Rice LLC Comprehensive Plan,General Insurance,2024-03-05,,Active
9ca72677-5228-472d-89f7-2b86675a7ad8,3523183b-0198-4cca-a852-52a8512718b3,"Alvarez, Moreno and Mitchell Essential Plan",General Insurance,2024-06-30,,Active
00700278-265a-4906-bada-e5614a67b4cc,3523183b-0198-4cca-a852-52a8512718b3,"Dudley, Jones and Baker Protector Plan",General Insurance,2026-02-18,,Active
e9a00ad1-a54e-4c9e-a7a2-384b5acfdaca,3523183b-0198-4cca-a852-52a8512718b3,Johnson-Bonilla Comprehensive Plan,Life Insurance,2021-10-05,,Active
68550ce5-f904-4b52-9d45-c7cf0c1d8497,3523183b-0198-4cca-a852-52a8512718b3,"Soto, Clarke and Taylor Secure Plan",General Insurance,2020-08-29,2022-06-25,Lapsed
454d9050-2099-462e-b61b-d8e3d12b8c06,3523183b-0198-4cca-a852-52a8512718b3,Robertson LLC Diversified Fund,Cash,2022-08-14,,Active
12a6821d-d79c-4a05-83e5-bfa795279e41,3523183b-0198-4cca-a852-52a8512718b3,"Sanchez, Stevenson and Henderson Principal Fund",Equity,2022-11-29,2025-05-24,Settled
3aacde26-3383-4725-bbc0-0c9db97e8963,4c23eee5-dd8e-4910-a53f-71f7c302518a,Lynch-Hughes Global Fund,Equity,2025-09-29,,Active
988e2f42-0ecd-482a-805a-fc43445696fd,4c23eee5-dd8e-4910-a53f-71f7c302518a,"Lopez, Conley and Stuart Portfolio Fund",Fixed Income,2021-01-31,,Pending
d867d9fe-0217-4bcd-9201-e0beae986ffa,4c23eee5-dd8e-4910-a53f-71f7c302518a,Edwards-Frank Principal Fund,Fixed Income,2022-11-25,2025-01-10,Matured
6101cf1f-3768-4c01-ba32-785614667f7b,4c23eee5-dd8e-4910-a53f-71f7c302518a,Olsen and Sons Principal Fund,Equity,2021-04-07,,Active
b1b86c24-a2e0-4b2c-b463-90aa7189ba37,4c23eee5-dd8e-4910-a53f-71f7c302518a,"Stewart, George and Martinez Comprehensive Plan",Life Insurance,2022-09-05,,Active
679aaf67-7adf-4180-b0ea-b532b4133f0d,4c23eee5-dd8e-4910-a53f-71f7c302518a,Perkins Inc Portfolio Fund,Equity,2022-11-03,,Active
3739ece7-b536-4697-baa0-71dac1a6ab26,4c23eee5-dd8e-4910-a53f-71f7c302518a,"Lawson, Greene and Stewart Plus Plan",General Insurance,2024-12-11,,Active
12c24a5c-d914-4b9b-b37b-b59831b19316,4c23eee5-dd8e-4910-a53f-71f7c302518a,Huffman LLC Strategic Fund,Cash,2025-11-26,,Active
7c2194fe-733b-45e9-b1fa-518d83e91b2e,8dd6730b-5829-4150-8669-3761f40608ce,"Turner, Turner and Ruiz Comprehensive Plan",General Insurance,2022-06-13,,Active
5b5e5cc6-a2f8-49fe-ad28-f9267a81d8f8,8dd6730b-5829-4150-8669-3761f40608ce,Andrade-Lucas Core Fund,Cash,2022-02-13,,Active
246df25f-62c6-4fe0-b911-5b5f3c2a3d19,8dd6730b-5829-4150-8669-3761f40608ce,"Taylor, Chavez and Smith Essential Plan",Health Insurance,2020-06-03,,Active
f3a6a2c0-c65c-4530-b50a-c90287b70ae8,8dd6730b-5829-4150-8669-3761f40608ce,"Moore, Griffin and Lopez Secure Plan",Life Insurance,2020-12-04,,Active
ab6dc61c-12ca-4e6b-9212-51eed1f6d673,8dd6730b-5829-4150-8669-3761f40608ce,Salinas-Boone Global Fund,Equity,2022-04-13,,Active
88cd2ce1-407a-4d1a-9caa-a3ff859ed03d,8dd6730b-5829-4150-8669-3761f40608ce,Sanchez PLC Core Fund,Cash,2025-06-17,2026-02-25,Lapsed
c9c2751e-16fc-403c-8611-b5b2fe1c1a76,8dd6730b-5829-4150-8669-3761f40608ce,"Barr, Garrett and Rich Protector Plan",General Insurance,2020-06-16,,Pending
